
------- Starting Log at: 10/10/2024, 14:06:30
This Arduino Board: Arduino Leonardo (COM4) on Port: COM4
USBCDCNeeded: 1
Enabled the watchdog with max countdown of 8000 milliseconds!

Seconds,VBat,A2Dval,SecsLeft,%CapRemain,Ch/Dis
376,1358,708,2952,82,D,1347
378,1353,707,2808,78,D,1346
380,1350,707,2628,73,D,1346
382,1348,706,2484,69,D,1344
384,1346,706,2484,69,D,1344
386,1344,705,2340,65,D,1342
388,1342,705,2196,61,D,1342
390,1342,705,2196,61,D,1342
392,1342,705,2196,61,D,1342
394,1345,713,504,14,C,1357
396,1349,715,504,14,C,1361
398,1353,716,540,15,C,1363
400,1356,716,540,15,C,1363
402,1358,717,540,15,C,1365
404,1360,717,576,16,C,1365
406,1361,717,576,16,C,1365
408,1361,717,576,16,C,1365
410,1363,718,576,16,C,1367
412,1363,718,576,16,C,1367
414,1363,718,576,16,C,1367
416,1363,718,576,16,C,1367
418,1363,718,576,16,C,1367
420,1358,709,2952,82,D,1349
422,1360,717,2952,82,D,1365
424,1362,718,576,16,C,1367
426,1363,718,576,16,C,1367
428,1363,718,576,16,C,1367
430,1363,718,576,16,C,1367
432,1364,719,576,16,C,1368
434,1364,719,576,16,C,1368
436,1364,719,576,16,C,1368
438,1364,719,576,16,C,1368
440,1364,719,576,16,C,1368
442,1364,719,576,16,C,1368
444,1364,719,576,16,C,1368
446,1364,719,576,16,C,1368
448,1364,719,576,16,C,1368
450,1364,719,576,16,C,1368
452,1364,719,576,16,C,1368
454,1364,719,576,16,C,1368
456,1365,719,576,16,C,1368
458,1365,719,576,16,C,1368
460,1366,720,576,16,C,1370
462,1366,720,576,16,C,1370
464,1366,720,576,16,C,1370
466,1366,720,576,16,C,1370
468,1366,720,576,16,C,1370
470,1366,720,576,16,C,1370
472,1366,720,576,16,C,1370
474,1366,720,576,16,C,1370
476,1366,720,576,16,C,1370
478,1366,720,576,16,C,1370
480,1367,720,612,17,C,1370
482,1367,720,612,17,C,1370
484,1367,720,612,17,C,1370
486,1367,720,612,17,C,1370
488,1367,720,612,17,C,1370
490,1367,720,612,17,C,1370
492,1368,721,612,17,C,1372
494,1368,721,612,17,C,1372
496,1368,721,612,17,C,1372
498,1368,721,612,17,C,1372
500,1368,721,612,17,C,1372
502,1368,721,612,17,C,1372
504,1368,721,612,17,C,1372
